user_id,user_created_at,length,likes,quotes,replies,retweets,text,user_followers,user_tweet_count
spockresists.bsky.social,2023-06-15,49,20906,104,220,1846,The Heart Nebula \n\ntelescope.live/gallery/hear...'], 69762, 757
cerberusxt.bsky.social,2023-08-02,128,1916,3,60,118,"I've seen so many big larpey Space Marine weirdos have a meltdown over my various Warhammer40k series to confirm it's 100% true.""]", 16444, 3950
susiedent.com,2023-07-05,152,8679,239,353,1314,"Word of the day is a favourite, from old Scots. \n\nTo ‘tartle’ is to hesitate while introducing someone because you have completely forgotten their name.']", 165989, 98
davidbflower.bsky.social,2023-09-27,140,401,2,8,20,Jupiter and Aldebaran (Alpha Tauri) from last night. 30 November 2024. 🔭 🧪 🎨 #astrophotography #SciArt #photography #StormHour #ThePhotoHour'], 41122, 7054
amazingeye18.bsky.social,2024-10-14,24,1917,6,25,69,"Grand Canyon, Arizona 🇺🇲']", 6899, 25
nasahubblenews.bsky.social,2024-11-13,209,419,0,8,34,"Witch Head To Death Star: Rare Space Phenomena Captured By NASA's Telescopes 🔭 \n\nNASA’s telescopes not only produce mesmerising visuals but also offer critical scientific data.\n\n#Astronomy #NASA #Hubble #Space""]", <NA>, <NA>
bradbraddbraddd.bsky.social,2024-01-28,12,449,0,14,12,Laundry day!'], <NA>, <NA>
astrojaz.bsky.social,2023-07-03,41,4385,15,42,291,the beautiful cartwheel nebula by jwst ✨'], 27171, 425
xcocob.bsky.social,2024-11-08,165,7828,45,475,311,I’m gonna get my masters. \n\nI’m gonna get my masters. \n\nI’m gonna get my masters. \n\nI’m gonna get my masters. \n\nI’m gonna get my masters. \n\nI’m gonna get my masters.'], 1077, 1103
mollytaft.bsky.social,2023-04-27,245,3251,14,115,140,i know we’re back to skinny culture bc im watching the netflix movie where the male love interest is a snowman come to life and they cast a man with like 5% body fat instead of a guy with a dad bod and round tum like SNOWMEN are supposed to have'], <NA>, <NA>
jamesgunn.bsky.social,2023-04-23,200,3129,7,83,91,Took my Mom and wife to see Wicked in the same theater @jimlee.bsky.social and I both first saw Superman way back in ‘78 - Des Peres Cinema. We all loved it. (I mean Wicked but yes also Superman ofc).'], <NA>, <NA>
xanindigo.bsky.social,2023-05-03,193,140,8,33,9,"things that Star Trek writers need to let go of:\n\n• The Borg\n• synthetic people\n• time travel\n• the mirror universe\n• vaguely grimdark vibes\n• Starfleet being bad, actually\n• the Kobayashi Maru']", 5196, 22055
jael.bsky.social,2023-05-22,103,167,0,2,5,nothing screams “welcome to womanhood” like a ton of men telling me to listen to bands i’ve toured with'], 12581, 1318
viktorwinetrout.bsky.social,2023-05-09,54,2319,28,146,177,Tom Cruise does his own stunts because he wants to die'], 24538, 3412
cats.blue,2024-11-18,45,481,0,4,25,"My mommie protects me because she loves me.""']", 8155, 96
noelreports.com,2023-07-03,288,497,5,21,77,"Meanwhile the fire in Yekaterinburg, Russia keeps going and growing. Eyewitnesses report hearing explosions before the blaze, with workers evacuating the premises. The cause is still unknown. Notably, foamed polyethylene is used by Russia for thermal imaging shelter and drone components.']", 58204, 12885
maks23.bsky.social,2023-08-18,15,4566,39,122,596,🇬🇪👊Georgia  🔥🔥🔥'], 42553, 18544
thebrookeashley.bsky.social,2024-11-14,68,2872,87,100,389,"However you feel your 2024 went, nobody took a bigger L than Drake 😭']", 3878, 2007
nhoodpublicist.bsky.social,2023-05-01,169,98,1,0,11,The bands are already playing arrangements from GNX and DJ Michael Watts chopped and screwed the entire album. Kendrick picking up wins like Obama did in the 08 election'], 20418, 873
austmitchtavlander.bsky.social,2024-11-14,20,7831,35,295,710,Simple and effective'], 10217, 344
audhd-psychnp.com,2023-09-08,300,91,1,10,7,"Fear of tarring children with these labels once kept numbers down, are we now applying them too liberally?""\n\nNo. We are not. 😐\n\n""It has also left a group in the cold: children who are not high functioning, who have limited communication and who struggle with daily life""\n\nNo. We have not.* You have.']", 3089, 2888
minibubbly.bsky.social,2023-08-25,223,173,4,7,33,Researchers in N.S. develop family of antibiotics to combat superbugs\n\nExcessive use of antibiotics has resulted in some medicines becoming ineffective in treating infections #NovaScotia #nspoli \n\nwww.cbc.ca/news/canada/...'], 11813, 14460
earth010.bsky.social,2024-11-25,18,437,4,8,25,The Heart Nebula ❤'], 1221, 10
nigellicus.bsky.social,2023-10-19,101,50,1,3,11,"There hasn't been this much interest vested in a Sherlock comeback since the Reichenbach Falls. #ge24""]", 987, 851
glitterburrito.bsky.social,2023-05-27,75,46,0,5,0,Gritty reboot of Mr Freeze origin story where he’s a cold plunge influencer'], 7024, 12882
naturescompass.bsky.social,2024-11-28,9,712,0,9,25,Amazing 😍'], 6586, 99
thesgtjoker.bsky.social,2024-11-11,42,426,7,22,99,Recrudescence. Yep. That about sums it up.'], 53276, 97
lilycutie.bsky.social,2024-11-14,14,5807,37,73,900,Note this down'], 26351, 541
talibkweli.bsky.social,2024-11-16,20,3393,13,74,312,When I hear music...'], 2719, 335
astronomers.bsky.social,2024-11-16,27,5534,14,48,298,The Whirlpool Galaxy \n\nNASA'], 41253, 92
kattenbarge.bsky.social,2023-04-26,117,298,3,14,11,“We shouldn’t let journalists on Bluesky” baby I’ve been here since April 2023. Maybe we shouldn’t let you on Bluesky'], 65405, 2123
nameshiv.bsky.social,2023-06-08,204,382,0,19,27,"in retrospect, should have probably spent more time asking how exactly Carmen Sandiego managed to get the liberty bell to Peru, sounds like performance levels at Customs is even worse than anyone imagined']", 51182, 27533
realbiscuitspaw.bsky.social,2024-02-09,11,359,2,14,46,In the know'], 7124, 971
theabigailthorn.bsky.social,2023-05-02,91,3165,19,134,173,We missed a Barbenheimer moment with Gladiator II and Wicked; we could have had Glickedator'], 74499, 693
caliblue4ever.bsky.social,2024-11-20,184,600,5,32,129,"A huge thanks to Bill Barr for choosing to stay quiet about all of this, just so he could include it in a book later—regardless of the harm it caused to the country. Truly disgraceful.']", 14923, 59
prettyliltakemachine.is-extremely.gay,2023-07-22,155,2334,23,40,140,JAPANESE MAN DIRECTING THE MOST LESBIAN FILM YOU’VE EVER SEEN IN YOUR LIFE: This movie is about how special it is to have friendships when you are young :)'], 3781, 8012
jasonkirk.fyi,2023-05-10,162,2917,20,70,269,[Camera lovingly caresses the entire minutes-long brawl as millions of people are far too locked in to change the channel]\n\nGus and Joel: Nobody wants to see this'], 27926, 3050
ftrain.bsky.social,2023-04-27,289,372,3,11,26,"The movie “Flow” is nominally about a little black cat surviving and finding friendships with a capybara and lemur, among others, in a flooded, post-apocalyptic world, but it is also about managing anxiety during crisis by focusing on the community you are in. Also it was made in Blender.']", 14508, 351
scottygb.bsky.social,2023-04-27,157,20,5,12,7,"Understand that currently the BBC still plans to air the two MasterChef Christmas specials, featuring Gregg Wallace, that they announced earlier in the week.']", 25287, 464
emyrdavies.bsky.social,2024-11-16,59,278,1,4,11,Shroom cluster from a week or so ago.\n\n#fungi\n#fungifriends'], 497, 41
itsmephee.bsky.social,2024-10-10,22,78,0,7,5,"Good morning, Loves ❤️']", 20963, 4614
universespace.bsky.social,2024-11-19,84,73,0,4,6,"Clearest image ever taken of Heart Nebula, located 7500 light years away from earth.']", 9252, 121
atrupar.com,2023-04-28,268,320,2,80,11,My 2 year son dropped an F bomb plain as day this morning. My wife and I are amused/horrified but now I’m wondering where he possibly could’ve picked it up. I’ve let it slip a couple times around the house but never heard my 4 year old daughter say anything like that!'], 541901, 4070
barbmcquade.bsky.social,2024-11-08,85,300,0,22,2,Had to update my profile pics to celebrate Michigan football’s win over OSU. #GoBlue!'], 226604, 248
maks23.bsky.social,2023-08-18,27,333,1,9,34,More from Yekaterinburg 🔥🔥🔥'], 42553, 18544
tribelaw.bsky.social,2024-11-12,34,4570,33,165,666,Good advice to everyone on BlueSky'], 191632, 167
mikegalsworthy.bsky.social,2023-10-31,134,727,10,49,217,“Privatisation promised efficiency but led to declining services and higher costs. No wonder the public now favours renationalisation”'], 91885, 1255
joncooper-us.bsky.social,2024-11-09,92,345,0,19,4,"Good morning, Bluesky friends! 😃\n\n(These adorable pups belong to my older son’s girlfriend.)']", 288851, 250
weeder.bsky.social,2023-08-11,63,35,0,3,2,Oh you saw three ships come sailing in guess what nobody cares.'], 18495, 9034
derfbackderf.bsky.social,2023-06-23,284,301,2,6,165,"Woof. What a story. Welsh cartoonist Alex Norris is embroiled in a years long ordeal to fend off a US company that claims his strip is THEIR intellectual property. Norris has won several rounds in court, but the suits lurch on w/ crippling legal costs, which is no doubt the strategy.']", 8192, 6247
solomonmissouri.bsky.social,2023-04-23,58,44,1,2,5,I need to restore my spirit… \n\nTime to listen to Kendrick!'], 20350, 4285
mollyjongfast.bsky.social,2023-04-27,74,310,3,17,37,Written in the 1960s ( and 1950s) but could absolutely be applied to today'], 525109, 1295
dennycarter.bsky.social,2023-06-27,142,691,4,84,14,I’ve had heartburn since my first sip of coffee this morning. I’m not looking for solutions. I don’t want advice. I only want to whine online.'], 17342, 9311
internethippo.bsky.social,2023-06-29,145,482,1,8,21,"Trimming my body hair and leaving it all over the place so my cats know how it feels. One of them is picking up the vacuum cleaner like ""damn ok""']", 163354, 580
courtenlow.bsky.social,2023-07-04,227,66,2,10,4,There was a trailer before Moana 2 for a Zachary Levi Jesus movie about the devastating inspiring overcoming-of-insurmountable-odds of *checks notes* having a neurodivergent child. Everyone involved needs to calm the fuck down.'], 1120, 266
johngreensbluesky.bsky.social,2024-08-30,299,308,2,14,23,"After tumblr died but before it was declared dead*, the site became mostly a Pig Wrestling** platform. \n\n* Tumblr is actually very much alive and quite cool now.\n** As in the old adage, Never wrestle with a pig. You get dirty and the pig likes it.\n\nAnyway, twitter has entered its Pig Wrestling Era.']", 131817, 104
dreadful4x.bsky.social,2024-11-08,278,6144,63,157,535,Drake really told Kendrick “you rap like you trynna free the slaves” lmao like you have to be so severely detached from hip hop and black culture to think that was a bar? 😭 if anything that proved exactly what Kendrick been saying about him. What would possess you to say that 😂'], 4030, 1131
fernwytch.vtubers.social,2024-10-16,215,43,0,8,4,"Those in the Vtuber/Streaming space who think '30s' is old are gonna have a real 'Oh shit I was wrong' moment when they get to their 30s and realize nothing changes they are still the same as they were in their 20s.""]", 2202, 929
davidpakman.bsky.social,2023-05-02,149,306,4,29,28,"Pete Hegseth's own mom now says he was abusive to women and they want a q-anon conspiracy theorist for FBI Director. This is going to go really well.""]", 193621, 329
cnn.com,2024-02-09,121,540,14,25,43,"An orca pod in the Pacific Ocean has devised a cunning strategy to hunt and kill whale sharks, new research has revealed.']", 391945, 6155
nameshiv.bsky.social,2023-06-08,104,7981,26,323,238,Bought a new smart fridge so now I have about 5 days to get a computer networking degree so I can use it'], 51181, 27533
softtail65.bsky.social,2023-09-15,60,19,0,40,4,"Name a song with the word ""Could"" in the title or lyrics...🎶']", 19353, 1413
rbreich.bsky.social,2023-05-16,181,304,1,14,50,Trickle down economics is a hoax. \n\nThis t-shirt is not. \n\nGet yours today and help me spread the word about this economic myth. inequalitymedia.goodstockcompany.com/product/YGBc...'], 367800, 1863
popbase.tv,2024-09-03,124,306,8,9,27,‘All I Want For Christmas Is You’ by Mariah Carey earns its biggest streaming day on Global Spotify in 2024. (6.73M streams)'], 153157, 660
godpod.bsky.social,2023-04-29,176,7268,25,323,405,"So glad Bluesky is cracking down on impersonators and parody accounts.\n\nNOTE: Since no one can prove God is real, I am therefore not an impersonation or a parody.\n\nHi, I’m God.']", 354584, 849
humblyjay.bsky.social,2024-11-25,58,754,6,29,56,"The Helix Nebula captured by NASA'S Hubble space telescope""]", 8639, 22
nameshiv.bsky.social,2023-06-08,187,1699,7,59,47,"not sure what I expected when I watched Princess Bride with the chiddlers, but it was not the niece telling her father all of yesterday that he killed her father and should prepare to die']", 51181, 27533
mo1nlover.bsky.social,2024-11-13,0,9770,30,86,521,], 115245, 205
jefftiedrich.bsky.social,2023-05-05,242,1951,16,103,407,"here\'s today\'s post: ""Charles Kushner and Kash Patel join Donny’s Confederacy of Sewer Clowns"" — a kakistocracy the likes of which no one has ever seen.\nthanks for reading, and please sign up for my daily newsletter so you never miss a post —']", 241762, 2599
minakimes.bsky.social,2024-11-07,296,405,4,39,70,"Good morning Bluesky!!\n\nI updated my starter pack of NFL follows—if you’ve already subscribed, there are new names: go.bsky.app/8RH6KbH\n\nAlso, I made a LIST featuring those voices + some others that you can use as an NFL timeline. Just pin it to your home: bsky.app/profile/did:...\n\nPlease share!']", 194825, 697
theabigailthorn.bsky.social,2023-05-02,100,601,2,56,10,Can’t decide whether to do one massive sprawling video on Nietzsche or a main one and a spinoff one?'], 74500, 693
thetnholler.bsky.social,2023-05-16,19,1408,1,18,225,CARTOONS OF THE DAY'], 134285, 821
www.jrrjokien.com,2023-07-04,76,638,6,34,62,this is your annual reminder that The Lord of the Rings is a Christmas movie'], 7087, 325
markhertling.bsky.social,2024-11-12,204,732,2,29,62,"There are currently 6 accounts on twitter impersonating me and replicating my posts. I have reported all of them multiple times, no action. \nHere on @bsky.app there was one, I reported and he is now gone.']", 65177, 132
joshgondelman.bsky.social,2023-05-05,113,643,5,14,43,Fact: The Counting Crows lyric “it’s been a long December” was written halfway through the first day of December.'], 57033, 3691
stonekettle.bsky.social,2023-07-10,164,1006,7,74,128,"Kash Patel. It's Kash Patel.\n\nCongratulations to those who wanted to burn civilization down and start over. Looks like you're going to get your wish. How's it feel?""]", 74444, 275
seanfennessey.bsky.social,2024-11-07,289,169,1,10,4,"This month on The Big Picture:\n\n12/2 BLITZ\n12/6 Top 5 Movies of '24\n12/9 Golden Globes Noms\n12/11 A Physical Media Special\n12/13 2021 Movie Draft\n12/16 NIGHTBITCH + SEPTEMBER 5\n12/18 Top 10 Underseen of '24\n12/20 MUFASA + KRAVEN\n12/24 A COMPLETE UNKNOWN\n12/27 NOSFERATU\n12/31 THE BRUTALIST""]", 20084, 29
nytpitchbot.bsky.social,2024-11-11,216,693,7,23,73,"Mango & Kash\n\nAn orange prez and his brown sidekick have become the hottest duo since Sly and Kurt.  And if this buddy flick bombs at the box office, they can always send the critics to the slammer. \n\nby Maureen Dowd']", 90243, 267
marcelias.bsky.social,2023-05-03,109,729,6,143,128,This is another fake account I have reported but is still actively deceiving people. \n\nmarcelias1.bsky.social'], 462672, 324
behrbones.bsky.social,2023-07-25,293,180,12,121,10,This is such a dumb question i fear even asking it but… how do y’all build in more time for reading? I *love* to read but just can’t seem to build in a consistent routine to get through the books I want to. \n\nAny tips/experience/tough love (e.g. “Josh get tf off of social media”) appreciated!'], 1793, 1782
gwensnyder.bsky.social,2023-05-07,291,2122,12,89,179,"It is exhausting having to research and figure out everything from black plastics to best ventilation practices to COVID vaccine schedules, I know this is a wild idea but have we thought about creating publicly funded government bodies that could manage and regulate this stuff on our behalf']", 25371, 6644
adamcsharp.bsky.social,2023-09-19,284,907,13,110,94,A list of ten musical artists to listen to if you’re a conspiracy theorist...\n\n10. Maroon 5G\n9. Flat Eartha Kitt\n8. 4 QAnon Blondes\n7. Huey Lewis and the Fake News\n6. Foster the Sheeple\n5. New (World) Order \n4. Masonic Youth \n3. Unmarked Van Morrison \n2. Basement Vaxx\n1. Simple Minds'], 31185, 3473
dworkin.bsky.social,2023-07-05,80,1639,49,215,291,CNN and MSNBC Post-Election Ratings Continue to Plummet. Good. \n\nMy Sunday Post:'], 238441, 1484
kevinmkruse.bsky.social,2023-04-29,106,3283,18,142,320,Every complaint about people abandoning Twitter is essentially “but my mom says you have to play with me!”'], 274616, 17417
smashfizzle.bsky.social,2023-05-04,227,1734,18,70,146,"I didn’t leave X because people there had different opinions and ideologies, I left because it stopped being fun. I get on social media to chat with people who think thinking is fun. X stopped being a place where that was true.']", 37659, 481
popbase.tv,2024-09-03,103,972,33,16,75,"13 years ago today, Ariana Grande tweeted about how playing Glinda in ‘WICKED’ would be her dream role.']", 153158, 660
brendelbored.bsky.social,2023-05-31,233,775,3,34,63,"I’m not even sharing that “if you leave Twitter you are engaging in purity politics” news story because at this point it’s not even fun, it’s like seeing some 80’s band playing at the county fair, get a new job doofus! You’re boring!']", 66876, 22306
mariobrothblog.bsky.social,2024-09-01,262,608,3,9,84,"During the surfing tutorial in Super Mario Galaxy, it is possible to jump off the manta ray on the first frame. This will put Mario into a glitched ""perpetual tiptoe"" state whereby he will be tiptoeing no matter how fast he runs, as well as while standing still.']", 49481, 121
cwebbonline.com,2023-08-12,289,1257,30,161,392,"KASH PATEL’S CONFIRMATION HEARING WILL BE A TRAIN WRECK.\n\nPatel keeps claiming he was the “lead prosecutor” in Benghazi, but he was actually a junior staffer—never the lead.\n\nWatch this video to see him lie again and explain his plan to turn the Hoover building into a “deep state” museum.']", 165446, 868
xdarththunderx.bsky.social,2024-10-20,238,80,0,9,14,"Thinking about Leslye Headland, the cast and what a S2 of The Acolyte could have been. I truly believe she was cooking up something truly special. I honestly feel companies need to allow creativity to breathe and stand by their employees.']", 2300, 927
fesshole.bsky.social,2023-08-24,194,57,0,6,0,"I want to buy whoever\'s responsible for trash like ""Hot Frosty"" and ""The Merry Gentlemen"" a case of beer. Your movies are shit but my wife\'s like a horny teenager after watching them. Bless You.']", 72146, 6240
marcvenema.bsky.social,2024-10-19,79,882,1,16,47,"Barred Owl on a cold, rainy evening.\n#wildlifephotography #birdphotography #owl']", 6995, 160
cadaverdave.com,2023-07-23,77,96,0,18,5,Sorry to say that I’m one of those vermin who actually likes Christmas music.'], 5136, 351
ekvitki.bsky.social,2024-09-05,162,390,0,2,38,Commission for Unimpressed_Planet\n\n#pixelart #art #pixels #space #saturn #vibe #aesthetic #commission #vgen\n\nWant one of your own? We can make it! vgen.co/ekvitki'], 13301, 715
nicholasgrossman.bsky.social,2023-05-02,298,157,0,15,11,"What shows that the website X is currently populated by open-minded people who are persuaded by evidence and argument?\n\nWhat shows that posters who disagree with X ownership's views are persuading users on the site despite the heavy, biased thumb on the scale?\n\nWhat evidence supports those claims?""]", 29709, 6807
prisonculture.bsky.social,2023-05-05,148,76,0,1,30,"Support grants ($500 - $2000) to individual feminist women in the arts with primary residence in the US and Canada."" demingfund.org/apply-pd-11....']", 89300, 8100
jack-e-smith.bsky.social,2023-07-01,47,674,6,16,48,"Keep going, Joe. Make him ambassador to France.", 367205, 779
chrisgpackham.bsky.social,2024-02-12,59,3775,5,35,181,"A beaut of a #FoxOfTheDay today , thank you @davidhateley !", <NA>, <NA>
spookarties.bsky.social,2024-04-17,97,23125,213,380,3078,Robocop is a movie about a guy who gets killed on the job and they still made him go back to work, 2755, 506
naturelove.bsky.social,2024-11-25,20,7871,27,99,390,"Maui, Hawaii 🏝️🏔️🌅🌊.", 7010, 107
jackboot.bsky.social,2023-08-23,258,12465,76,371,1093,"I love the Charlie Brown Christmas special. There's an eerie loneliness that hangs over the whole thing. The music, Charlie Brown's depression, the dying little tree, the flatness of the children's voices, the inevitability of death. A Christmas masterpiece.", 4653, 678
ctraveler.bsky.social,2024-11-13,159,1364,15,39,177,"295,000 journalists from 44 countries will stop posting content on X. We are making change and the world has spoken.\n\nwww.thelondoneconomic.com/news/media/e...", 15146, 361
aoc.bsky.social,2023-04-27,143,61318,284,1491,5402,People are leaving Twitter because it’s not fun anymore and no one is obligated to be on a platform they don’t enjoy.\n\nIt’s not rocket science., 1081900, 437
squillium.bsky.social,2023-05-31,85,8692,137,301,1125,We don't need more remakes of old movies. We need more MUPPETS remakes of old movies., 1172, 754
mo1nlover.bsky.social,2024-11-13,0,24534,66,218,1274,nan, 115246, 206
shiningscience.com,2024-11-17,80,27424,185,346,2515,"Clearest image ever taken of Heart Nebula, located 7500 light years away from us", 25222, 48
saskajanet.bsky.social,2023-05-13,78,10431,30,175,600,Red squirrel heard you were decking the halls and is here to help \n\n#mammals 🌿, 12318, 9922
janeotn.bsky.social,2024-11-15,190,880,6,53,82,"Good morning! Remember, you don't have to eat one chocolate a day from the Advent calendar. You can eat them all and then get another calendar. \n\nStick with me for more great Holiday tips! 🎄", 31815, 552
humblyjay.bsky.social,2024-11-25,44,7677,51,135,611,The skull nebula \nImage credit:- NASA Hubble, 8640, 22
therealjackhopkins.bsky.social,2024-11-10,215,4868,10,179,276,Wicked was outstanding! I was dialed in for the entire 2 hours and forty minutes. There wasn’t a flat spot from beginning to end. Talent galore; the acting was great and the singing voices were emotionally stirring., 177704, 1680
mikegalsworthy.bsky.social,2023-10-31,300,1020,15,38,346,"“Just three companies, News Corp (Murdoch family), Daily Mail & General Trust (DMGT, Viscount Rothermere) and Reach plc, control over 80% of daily newspaper circulation…\n\nThe hyper-rich continue to invest huge sums in acquiring control of media”\n\nWe need a free press - ie free from the billionaires.", 91888, 1256
scalzi.com,2023-04-27,288,791,3,29,39,"As an anecdotal observation, my posts here pick up rather more bots/trolls/chuds than my posts on Threads, even though I post much more overt political content over there than here. It's a telling indication of which site the people directing the bots/trolls/chuds are worried about more.", 208187, 12985
pixelatedboat.bsky.social,2023-04-28,214,640,5,26,49,Probably the defining moment in Kraftwerk’s career was when they changed their name to Kraftwerk (from Uncle Horst and his Bratwurst Boys) and swapped their lederhosen and trombones for sharp suits and synthesisers, 178004, 1735
tarjapk.bsky.social,2023-07-03,293,18722,210,598,2343,"Subtitles aren’t just for deaf or hard of hearing players. They’re important for players in loud environments (who can’t use headphones), non-native speakers who rely on text to follow dialogue, and many neurodivergent folks who struggle to focus or process audio quickly. Just to mention few.", 2661, 723
beaveinflow.bsky.social,2024-04-03,108,364,2,21,24,People who invite that creepy Elf on the Shelf into their home clearly haven’t watched enough horror movies., 12643, 8593
amazonfirestick.bsky.social,2024-11-24,143,27,1,21,20,"Contact us for Every kind of iptv setup on any device ( Firestick, Smart TV, Android Box, Phones, PC, iOS devices.⭐⭐ 🇫🇷  🇬🇧\nWa.me/+447355425773", 1199, 53
minakimes.bsky.social,2024-11-07,74,2620,4,51,138,Lamar trusts Mark Andrews more than I trust members of my immediate family, 194835, 697
briantylercohen.bsky.social,2023-04-27,51,49510,370,1560,7727,Vivek is literally an unelected federal bureaucrat., 524557, 254
pinkranger.bsky.social,2023-07-26,76,3333,33,213,184,Do people who design product packaging ever try to open their own products?🥴, 1393, 1272
thedeeppainter.bsky.social,2024-11-18,15,1618,2,23,80,The big moon 🌝✨, 20326, 165
gtconway.bsky.social,2023-05-01,66,19265,66,528,1929,Can we get back to talking about Pete Hegseth’s mom already?  Thx., 526264, 818
spacepics.social,2024-11-14,25,2618,18,49,171,Saturn's Northern Hexagon, 2064, 244
bab102.bsky.social,2024-11-11,101,591,3,17,76,"The EFJ represents over 295,000 journalists in 44 countries\nwww.thelondoneconomic.com/news/media/e...", 13183, 39
mayoisspicyy.bsky.social,2024-11-12,75,35721,170,1075,3038,I love scary movies but living in one for 4 years seems a little excessive., 97977, 1172
thelondoneconomic.bsky.social,2024-11-13,119,7896,168,255,1533,"This is huge. \n\nThe EFJ represents over 295,000 journalists in 44 countries 👇\nwww.thelondoneconomic.com/news/media/e...", 16302, 142
cerberusxt.bsky.social,2023-08-02,12,18609,69,411,1750,Base(d)ball., 16451, 3950
wholethings.bsky.social,2024-01-08,35,968,10,21,64,The Hourglass Nebula seen by Hubble, 11647, 26
steinkobbe.bsky.social,2023-04-27,258,5471,35,162,443,"Genuinely makes me sad that history is filled with so many incredible fascinating stories yet the most popular history show on Netflix is some dipshit looking at old civilisations and just going ""looks like they used secret technology or magic to build this", 28228, 1297
markharris.bsky.social,2023-05-22,265,3267,6,49,143,"For no reason, I am just remembering a conversation I had with a director a few years ago. I asked him about one of his films and said, ""Would you ever do a four-hour director\'s cut of it?""\n\nHe said, ""No. I don\'t have secret four-hour cuts. My movies have scripts.", 47352, 2098
andrewchamings.bsky.social,2023-08-31,124,1506,3,34,133,"In an alternate universe there’s only one movie about falling in love, but thousands about swapping faces with john travolta", 467, 26
nameshiv.bsky.social,2023-06-08,187,5713,18,181,183,"not sure what I expected when I watched Princess Bride with the chiddlers, but it was not the niece telling her father all of yesterday that he killed her father and should prepare to die", 51181, 27533
sathnam.bsky.social,2023-07-03,55,247,4,56,9,Damien Lewis as Henry VIII: the best Henry VIII of all?, 36431, 363
infjx.bsky.social,2024-11-13,191,6416,38,149,365,There’s a website I frequently use called “Where’s The Jump?” that tells you exactly where in a film a jump scare comes in and I just think the person who takes the time to do that is so nice, 65605, 103
sarahz.bsky.social,2023-06-09,212,609,3,21,23,The main difference between Wicked the stage musical and Wicked the movie is that in the stage musical it’s obvious that Glinda is a lesbian and Elphaba is a bisexual woman. In the movie it’s the other way around, 14382, 879
gwensnyder.bsky.social,2023-05-07,291,18591,83,505,1919,"It is exhausting having to research and figure out everything from black plastics to best ventilation practices to COVID vaccine schedules, I know this is a wild idea but have we thought about creating publicly funded government bodies that could manage and regulate this stuff on our behalf", 25373, 6644
humblyjay.bsky.social,2024-11-25,58,18055,161,480,1357,The Helix Nebula captured by NASA'S Hubble space telescope, 8648, 22
therichfromcali.bsky.social,2023-06-04,51,39705,290,1454,5553,Religion does NOT belong in our schools!\n\nAgreed? ✋, 47926, 619
universespace.bsky.social,2024-11-19,49,254,1,7,17,The Carina Nebula\n\n7500 light years away from us., 9282, 121
lepapillonblue.bsky.social,2023-08-06,61,7695,15,117,384,"From Christmas Day a few years ago, enjoy. #ArtAdventCalendar", 147233, 7215
culturecrave.co,2023-07-01,57,658,37,20,77,‘Brain Rot’ has been named Oxford's Word of The Year 2024, 117170, 1147
mnateshyamalan.bsky.social,2023-04-27,104,14672,73,141,1183,shout out to kendrick lamar for making this the Worst Week Alive for every single hot dog stand employee, 127166, 559
stillnaima.bsky.social,2023-05-01,136,2860,17,57,159,"Julie Andrews had Poppins - her FIRST movie role, drop in 64, and came right back with Sound of Music in 65. That's a helluva 1-2 punch.", 11899, 443
caliblue4ever.bsky.social,2024-11-20,1,35422,132,691,2911,👇, 14925, 59
markhamillofficial.bsky.social,2024-11-16,30,103264,288,4612,2311,"Like"" this post just because.", 817512, 60
thehardyboycats.bsky.social,2023-08-16,39,1177,2,19,73,Really feeling the Mondayness of it all, 22569, 10096
andrewmale.bsky.social,2023-04-27,297,5214,263,1053,344,"More men need to tell us they've never been a fan of The Beatles. It shows an independence of thought  but also profound intellectual insight; a refusal to run with the herd. I especially like to see it in response to someone expressing their love of the group. It's outspoken, contrary and brave.", 8049, 1452
rodimusprime.bsky.social,2023-04-27,94,5182,62,139,365,When people say Drake is playing Chess it reminds me of how few people know how to play Chess., 2849, 128
deepgreens.bsky.social,2024-10-19,34,480,0,9,36,Soothing colors and gentle breeze…, 3096, 451
johannatarkela.com,2023-07-24,113,7655,17,195,604,"Comfort zone fox I did two years ago, I seem to have a thing for painting autumn themed foxes over the years\n#art", 4445, 336
muellershewrote.bsky.social,2023-04-28,77,21856,102,731,1884,I had no idea how thirsty I was for some good news until Joe pardoned Hunter., 474425, 1619
sistosterone.bsky.social,2024-11-21,51,15450,55,304,1958,FoIIow (me) 👇 for more! @sistosterone.bsky.social 👈, 37599, 177
dansheehan.bsky.social,2023-05-06,81,3191,21,47,450,"To me, nothing is funnier than this. Everything competes with scrunched up Kermit", 7076, 354
cerberusxt.bsky.social,2023-08-02,26,497,15,43,73,He tweeted this then died., 16451, 3950
armandsarlangue.bsky.social,2024-11-15,175,388,0,7,27,Rainbow hat over Grand Canyon national Park 🌈🎩… \nCaptured at 300mm for compression.\n\n#bluesky #photography #nature #landscape #landscapephotography #naturephotography #rainbow, 4413, 2048
godpod.bsky.social,2023-04-29,81,14346,68,571,1064,"I should’ve pardoned my son too. \n\nI let Jebus go through all that, and for what?", 354630, 849
resistancefroggy.bsky.social,2024-11-15,89,3792,22,129,690,REPOST IF YOU AGREE!!!! #RESIST\n#RESISTANCE #TUCKFRUMP #BLUECREW #BLUEWAVE #SAVEDEMOCRACY, 11460, 253
