user_id,user_created_at,length,likes,quotes,replies,retweets,text,user_followers,user_tweet_count
ositanwanevu.bsky.social,2023-05-02,240,17473,91,263,2674,"Just insane that the left treated the tech industry with increasing hostility just because they undermined organized labor, flouted the regulatory state, and bragged that they were going to get rid of everybody's jobs for a decade straight.", 57611, 1104
anneapplebaum.bsky.social,2023-10-07,67,477,2,16,61,"This is as if, eight years from now, Ukrainians reconquered Donetsk", 223007, 233
jamesgunn.bsky.social,2023-04-23,189,2910,246,1896,129,"If DC Studios was to produce a TV Christmas Special starring one or more of our DC characters (in the tradition of the Guardians of the Galaxy Holiday Special), who would you want it to be?", 192429, 541
whimsicalmuse.bsky.social,2024-11-16,223,4434,33,297,278,"I don’t understand why people attempt to denigrate Hallmark Christmas films by referring to them as “too cheesy”, as if that is a bad thing? I mean, have you *had* cheese? \n\nIt’s not exactly the insult that you think it is.", 32605, 41
iwriteok.bsky.social,2023-04-28,148,2480,11,96,186,watching that Netflix documentary about Jon-Benet Ramsey and i feel like everyone involved in making child beauty pageants exist should be in prison, 74671, 107
rickhavoc.bsky.social,2023-08-18,130,6969,27,304,309,"I'm telling ya, the guys who made the Warner Brothers cartoons in the thirties and forties must have had some seriously good dope.", 10653, 38461
literarypearls.bsky.social,2024-11-18,0,7962,28,185,559,nan, 18335, 34
karenab32.bsky.social,2023-08-21,14,72,0,4,14,Good morning 😊, 4630, 1220
adrianedmondson.bsky.social,2023-12-15,252,12311,46,349,742,"Bizarre thing happened to me yesterday that my teenage self would not believe. I was playing at the gig to celebrate the life of the genius that was Neil Innes. Whilst waiting backstage to go on, Michael Palin sang the lumberjack song to me, in German.", 21318, 19
markhamillofficial.bsky.social,2024-11-16,102,37854,63,1299,1497,"Our dog's favorite holiday by far is Thanksgiving for the leftovers alone.\n\nL-R: Trixie, Mabel, Millie", 817121, 60
keithedwards.bsky.social,2023-04-19,23,16469,76,679,1362,America fumbled so hard, 157361, 888
georgetakei.bsky.social,2023-04-30,40,57089,541,1402,11229,Well played. And frighteningly accurate., 868980, 5295
protectallwildlife.bsky.social,2024-11-14,146,12205,46,123,862,#FoxOfTheDay 🦊\n\nA delightful image of Fox cubs holding onto each other’s tails. 💚\n\n📸 Credit: Tavistock Photo.\n\n#WildlifePhotography #Nature #Foxes, 15965, 258
ottoenglish.bsky.social,2023-05-19,289,539,13,83,107,"He also owns.. holy relics ... bit from the Crown of Thorns, a hair from the shirt of Thomas More, a fragment of the True Cross. Was Chaucer’s\xa0Pardoner’s Tale\xa0considered too common to be taught at Eton?""\n\nExcellent piece on the horror of Rees-Mogg tv\n\nwww.newstatesman.com/culture/tv/2...", 72086, 2796
drjengunter.bsky.social,2023-05-05,270,12885,69,381,512,This trip I have asked 3 people playing movies/news/talking on the phone without headphones to wear headphones. Each one seemed genuinely shocked that their noise was disturbing someone. Each one turned their volume off or put on headphones. Small victories in civility., 61845, 677
mark55.bsky.social,2023-05-17,73,8771,117,386,909,I love discovering a song and then listening to it 70 times in 48 hours 😈, 1643, 5039
mjmckean.bsky.social,2023-07-01,265,2174,11,120,147,"“Well, the smart money's on Harlow and the moon is in the street\nAnd the shadow boys are breaking all the laws\nAnd you're east of East Saint Louis and the wind is making speeches\nAnd the rain sounds like a round of applause”\nTime, by Tom Waits. \nNow that’s a lyric.", 77175, 167
propublica.org,2023-07-07,229,908,22,23,398,"As we’ve reported on sexual misconduct by OB-GYNs, we’ve learned that many women felt they didn’t know what was normal during a visit, or didn’t know what they could do to speak up.\n\nWe created this guide to help fill this gap. 👇", 308903, 1225
smoothdunk2.bsky.social,2024-11-14,55,812,5,16,68,This Is What True Crime Podcasters Fantasise About 24/7, 15018, 113
pleasebegneiss.bsky.social,2023-04-28,58,2095,7,59,194,remember this black friday it’s 100% discount if you steal, 39175, 1610
bellaqueen.bsky.social,2024-11-25,1,539,2,12,39,🌅, 11449, 44
carlbovisnature.bsky.social,2023-05-04,41,7833,19,122,458,Great White Egret reflection. 😍\n#birds 🐦🪶, 14330, 470
roastmalone.bsky.social,2023-04-27,230,12168,63,254,1174,my biggest issue with Bublé singing Santa buddy instead of Santa baby is the arrogance to preemptively reject Santa’s advances. You’re friend zoning St Nick when in reality you should BE so lucky that he’d let you explore his body, 10678, 421
doktrnick.bsky.social,2024-02-12,293,366,0,15,27,"Unbelievable. I got a tip on a Boobook Owl family, so I spent 2 hrs at dusk walking along a creek. No luck. I go back to my car, parked at a big box chain store, and as I'm putting my binoculars in the boot I hear a juvenile Boobook trill*. My 1st book will be Car Park Birding.\n#birds #wildoz", 3741, 622
odienator.bsky.social,2023-07-06,85,4090,40,150,167,"I was about to go out, then I turned on the hotel TV and...ok, I'm watching this now.", 8095, 3891
eve6.bsky.social,2023-04-26,84,1539,18,47,72,Started dune but quickly stopped. Dune crystal meth will lift you up until you break, 74996, 473
mehdirhasan.bsky.social,2023-04-28,262,7379,70,492,293,"I watched Gladiator 2. Pedro Pascal and Denzel both brilliant as ever. Storyline not bad; fight scenes fun. \n\nBut the film is let down by the lead guy. He just lacked… charisma, presence, charm. \n\nRussell Crowe carried the original movie as a proper leading man.", 382067, 171
markpopham.bsky.social,2023-04-27,144,2459,7,28,122,"amazing to hear ""hot to go"" multiple times during the macys Thanksgiving parade, america loves this song about being an anxious horny lesbian!!!", 15008, 6988
nellienell83.bsky.social,2023-06-29,43,3193,39,47,383,DMX should be here for the Drake slander 🥺., 210, 214
punkrockhistory.bsky.social,2023-09-07,291,720,14,27,104,"One year ago today\n\nIn memory, Shane Patrick MacGowan, former member of the punk band Nipple Erectors, co-founder and lead singer of the Celtic punk band The Pogues, founder of Shane MacGowan and The Popes, died of pneumonia after a long illness.\n\n#punk #punks #ShaneMacGowan #punkrockhistoy", 23408, 1810
jcsalterego.bsky.social,2023-04-23,0,4573,11,35,565,nan, 46248, 40602
bodegacats.bsky.social,2023-06-30,0,390,2,1,29,nan, 270496, 1642
tallbart.com,2023-04-27,94,4089,12,59,185,The Drake-Kendrick lawsuit is pretty funny but honestly the courtroom sketches would go insane, 28286, 192
jayinkyiv.bsky.social,2023-07-14,213,640,15,34,227,"Russians now control the government of Georgia, bringing back all the Russian culture that Georgians know so well from the previous decades of Russian occupation.\n\nIf Georgians don't win now, it's decades of this.", 36328, 398
kamalladreams.bsky.social,2024-11-13,20,8064,10,85,507,BlueSky for everyone, 89835, 2987
thedeeppainter.bsky.social,2024-11-18,10,96,0,3,8,Art sky 🌌🌠, 20319, 165
godpod.bsky.social,2023-04-29,53,7756,33,722,338,"what up bluesky, where my radical leftist lunatics at", 354547, 849
truthout.org,2023-06-08,109,4258,39,98,548,A new training program is offering reproductive health care skills to health care providers across the state., 25905, 236
peterstefanovic.bsky.social,2023-09-27,224,1680,11,43,365,Bluesky already delivering more referral traffic than X for some publishers\n\nThe Boston Globe and Guardian have both reported seeing more traffic from Bluesky than Threads. Spread the word \npressgazette.co.uk/platforms/bl..., 136255, 1289
